Name,altitude,heading,speed,vertical speed,pitch,bank,flaps,rpm,ResponseTime,EndsAt,EndsAtValue,EndsAtValueTolerance,Hint
Taxiing,,,,,,,,,,speed,28,>=,Taxiing
Takeoff roll,,50,60+0-60; p7,,,,,,,altitude,154,>=,Takeoff roll
Initial climb,,50,55+100-0,100+9999-0; p3,,0+-5,,,40,speed,70,>=,Initial climb
Stable climb,,50,79+9-10,200+9999-0,,0,,,,altitude,750,>=,Stable climb
First turn wait,,,79+9-10,200+9999-0,,,,,9,bank,-20,9,First turn wait
First turn do,,,79+9-10,200+9999-0,,-20,,,,heading,320,20,First turn do
First turn stabilize,,,79+9-10,200+9999-0,,,,,,Time,10,>=,First turn stabilize
Crosswind climb,,320,79+9-10,,,0,,,,altitude,1250,>=,Crosswind climb
Crosswind acceleration,1350,320,,0,,0,,,,Time,16,>=,Crosswind acceleration
Crosswind cruise,1350,320,100,0,,0,,,,Time,23,>=,Crosswind cruise
Second turn wait,1350,,100,0,,,,,9,bank,-20,9,Second turn wait
Second turn do,1350,,100,0,,-20,,,,heading,230,20,Second turn do
Second turn stabilize,1350,,100,0,,,,,,Time,10,>=,Second turn stabilize
Downwind cruise,1350,230,100,0,,0,,,,Time,73,>=,Downwind cruise
Slowdown wait,1350,230,,0,,0,,,,speed,79,<=,Slowdown wait
Descent wait,,230,75,,,0,,,17,altitude,1250,<=,Descent wait
Descent do,,230,75,-500,,0,,,,altitude,1000,<=,Descent do
Descent stabilize,,230,75,,,0,,,,Time,10,>=,Descent stabilize
Third turn wait,950,,75,0,,,,,9,bank,-20,9,Third turn wait
Third turn do,950,,75,0,,-20,,,,heading,140,20,Third turn do
Third turn stabilize,950,,75,0,,,,,,Time,10,>=,Third turn stabilize
Base cruise,950,140,75,0,,0,,,,Time ,35,>=,Base cruise
Fourth turn wait,950,,75,0,,,,,7,bank,-9,<=,Fourth turn wait
Fourth turn do,950,,75,0,, -15+-8,,,,heading,85,13,Fourth turn do
Fourth turn stabilize,,,75+9-16,,,,,,,Time,18,>=,Fourth turn stabilize
Lining up with runway,,,75+9-16,,,0+-10,,,,altitude,400,<=,Lining up with runway
Final approach,,,60+7-11,,,0+-10,,,,speed,35,<=,Final approach
